"date","close","volume","open","high","low"
"16:00","95.18","6,096,381","95.58","95.86","95.06"
"2018/08/23","95.1800","5904346.0000","95.5000","95.8600","95.0600"
"2018/08/22","95.6700","7719004.0000","96.2000","96.8500","95.2300"
"2018/08/21","96.0800","10524880.0000","95.9600","96.3600","95.3600"
"2018/08/20","96.0000","12577510.0000","97.6700","98.2900","95.9500"
"2018/08/17","97.8500","16459470.0000","97.7700","99.6700","97.6100"
"2018/08/16","98.6400","42604720.0000","100.1100","100.2100","97.9100"
"2018/08/15","90.2200","8582862.0000","90.2500","90.4100","89.6700"
"2018/08/14","90.8500","5827502.0000","89.6400","91.1200","89.6300"
"2018/08/13","89.6400","5878666.0000","90.2000","90.5400","89.3700"
"2018/08/10","90.1800","8238543.0000","88.7000","90.3700","88.6500"
"2018/08/09","89.0100","4725589.0000","89.4600","89.6300","88.7600"
"2018/08/08","90.0500","5040635.0000","89.9700","90.2300","89.3700"
"2018/08/07","89.7700","4511145.0000","89.8300","90.3600","89.6500"
"2018/08/06","89.6700","4651108.0000","89.3100","89.9812","89.1250"
"2018/08/03","89.6000","5746206.0000","89.1900","90.2800","89.0000"
"2018/08/02","88.7600","4305900.0000","87.9400","88.8400","87.6200"
"2018/08/01","88.2400","5049167.0000","88.8600","89.1300","87.8800"
"2018/07/31","89.2300","6708020.0000","89.0000","89.6600","88.8000"
"2018/07/30","88.8800","6004863.0000","88.0000","88.9399","87.8907"
"2018/07/27","88.1300","4679198.0000","88.6400","88.8800","88.0300"
"2018/07/26","88.2300","6547618.0000","88.5000","89.4300","88.1800"
"2018/07/25","87.9000","5807062.0000","87.2700","88.0200","87.1100"
"2018/07/24","87.9600","5588918.0000","88.1200","88.4950","87.6132"
"2018/07/23","87.6300","4143393.0000","87.6500","88.1500","87.3750"
"2018/07/20","88.0600","4815054.0000","87.4000","88.1700","87.2000"
"2018/07/19","87.7200","4881526.0000","87.8600","88.4800","87.4100"
"2018/07/18","88.0700","5044484.0000","88.3300","89.1900","87.9439"
"2018/07/17","88.1900","5903167.0000","87.4000","88.7000","87.4000"
"2018/07/16","87.6400","4441179.0000","87.6200","87.7200","86.8300"
"2018/07/13","87.7000","6385239.0000","86.5200","87.9900","86.5000"
"2018/07/12","86.5200","4888125.0000","86.9400","87.4100","86.2200"
"2018/07/11","86.5300","5590261.0000","87.0600","87.1500","86.3900"
"2018/07/10","87.2100","6038321.0000","85.9300","87.3300","85.8800"
"2018/07/09","85.9300","6573351.0000","85.0000","86.4700","84.7700"
"2018/07/06","84.5100","5623243.0000","84.2000","84.8650","83.8200"
"2018/07/05","84.5700","5354435.0000","84.9400","85.5800","84.2656"
"2018/07/03","84.4400","4396238.0000","84.0900","85.0500","84.0900"
"2018/07/02","84.0000","8120383.0000","85.6500","85.9400","83.4000"
"2018/06/29","85.6500","8255578.0000","85.9000","86.2000","85.5200"
"2018/06/28","85.8600","8465730.0000","86.8500","87.2900","85.6850"
"2018/06/27","86.8900","10297130.0000","85.9000","87.4900","85.5500"
"2018/06/26","85.9800","10120200.0000","86.5300","87.0500","85.7600"
"2018/06/25","86.4700","15933380.0000","84.5900","86.6000","84.4800"
"2018/06/22","84.8200","10998060.0000","84.4600","84.8500","84.1000"
"2018/06/21","84.2100","8090269.0000","83.4000","84.5500","82.8950"
"2018/06/20","83.6100","7965950.0000","83.7100","83.8200","83.1600"
"2018/06/19","83.6100","9350041.0000","82.6000","83.6200","82.3700"
"2018/06/18","83.0000","8492771.0000","83.0500","83.5700","82.8200"
"2018/06/15","83.7000","12502700.0000","83.5000","83.9900","83.0600"
"2018/06/14","83.7900","7514422.0000","84.2200","84.8100","83.6700"
"2018/06/13","84.0900","6357707.0000","83.8900","84.3700","83.8515"
"2018/06/12","84.1000","8057132.0000","84.3200","84.5900","83.4700"
"2018/06/11","84.3000","6250449.0000","84.4100","84.5400","83.7900"
"2018/06/08","84.3600","7600078.0000","84.7800","85.1899","84.1400"
"2018/06/07","84.9500","7701240.0000","84.7800","85.7600","84.6900"
"2018/06/06","84.5600","7362607.0000","84.9500","85.1473","84.3500"
"2018/06/05","84.6200","8278503.0000","85.4500","85.4700","84.2500"
"2018/06/04","85.4200","10913050.0000","83.5000","85.5200","83.3000"
"2018/06/01","82.9900","5217769.0000","83.0400","83.4200","82.8500"
"2018/05/31","82.5400","11464490.0000","83.9400","84.3100","82.5100"
"2018/05/30","84.1200","9311784.0000","82.4500","84.2300","82.2600"
"2018/05/29","82.4000","8425763.0000","81.9600","82.5200","81.8099"
"2018/05/25","82.4600","5910741.0000","82.8500","83.3400","82.3200"
"2018/05/24","82.8500","8573864.0000","83.0000","83.0000","81.7800"
"2018/05/23","83.0100","9366790.0000","82.9500","83.0200","82.1700"
